title:Aegis' Endgame Analysis | Tier: S-B (No Exotic Tabs) (updated 2026-04-07)
description:Based on Aegis' Endgame Analysis Spreadsheet (updated 2026-04-07). -> https://docs.google.com/spreadsheets/d/1JM-0SlxVDAi-C6rGVlLxa-J1WGewEeL8Qvq4htWZHhY <- | Autogenerated by JxP on 2026-08-08 16:22:00

// A Good Shout
//notes:[Rank]: 1 / [Priority]: high / [Role]: DPS crossbow / [Source]: Tenet of Bravery, Zavala / [Alternatives]: Submersion | tags: aegis endgame pve
//notes:[Rank]: 1 / [Priority]: high / [Role]: hunter DPS / [Source]: Rahool / [Alternatives]: Fortune's Favor, Mask of Bakris, Speedloader Slacks | tags: aegis endgame pve
dimwishlist:item=1667080810&perks=
dimwishlist:item=1321354573&perks=
dimwishlist:item=3960926756&perks=

// Conspiracy Honed
//notes:[Rank]: 1 / [Priority]: high / [Role]: kinetic DPS sniper / [Source]: Equilibrium / [Alternatives]: Something Something, Praedyth's Revenge, Succession | tags: aegis endgame pve
dimwishlist:item=4062069077&perks=1546637391,3078487919
dimwishlist:item=4062069077&perks=1546637391,1771339417

// Mint Retrograde
//notes:[Rank]: 1 / [Priority]: high / [Role]: kinetic rocket pulse / [Source]: Pinnacle Ops | tags: aegis endgame pve
dimwishlist:item=42435996&perks=2859149211,3081867624
dimwishlist:item=42435996&perks=2859149211,2396489472
dimwishlist:item=42435996&perks=2859149211,923806249
dimwishlist:item=42435996&perks=831391274,3081867624
dimwishlist:item=42435996&perks=831391274,2396489472
dimwishlist:item=42435996&perks=831391274,923806249
dimwishlist:item=3285784871&perks=2869569095,3081867624
dimwishlist:item=3285784871&perks=2869569095,2396489472
dimwishlist:item=3285784871&perks=2859149211,3081867624
dimwishlist:item=3285784871&perks=2859149211,2396489472
dimwishlist:item=3285784871&perks=831391274,3081867624
dimwishlist:item=3285784871&perks=831391274,2396489472
dimwishlist:item=1715391576&perks=2869569095,3081867624
dimwishlist:item=1715391576&perks=2869569095,2396489472
dimwishlist:item=1715391576&perks=2859149211,3081867624
dimwishlist:item=1715391576&perks=2859149211,2396489472
dimwishlist:item=1715391576&perks=831391274,3081867624
dimwishlist:item=1715391576&perks=831391274,2396489472

// VS Velocity Baton
//notes:[Rank]: 2 / [Priority]: medium / [Role]: energy area denial / [Source]: Vesper's Host / [Alternatives]: Psychopomp, Motif-41 | tags: aegis endgame pve
dimwishlist:item=1762785663&perks=776531651,2048641572
dimwishlist:item=1762785663&perks=776531651,243981275
dimwishlist:item=1762785663&perks=3108830275,2048641572
dimwishlist:item=1762785663&perks=3108830275,243981275
dimwishlist:item=2452936816&perks=776531651,2048641572
dimwishlist:item=2452936816&perks=776531651,2396489472
dimwishlist:item=2452936816&perks=776531651,243981275
dimwishlist:item=2452936816&perks=3987942396,2048641572
dimwishlist:item=2452936816&perks=3987942396,2396489472
dimwishlist:item=2452936816&perks=3987942396,243981275
dimwishlist:item=2452936816&perks=3108830275,2048641572
dimwishlist:item=2452936816&perks=3108830275,2396489472
dimwishlist:item=2452936816&perks=3108830275,243981275

// Found Verdict
//notes:[Rank]: 2 / [Priority]: medium / [Role]: energy DPS shotgun / [Source]: Vault of Glass / [Alternatives]: Unvoiced, Felwinter's Lie, A Sudden Death | tags: aegis endgame pve
dimwishlist:item=3197270240&perks=3418782618,2679249093
dimwishlist:item=694500607&perks=3764420437,2360754333
dimwishlist:item=694500607&perks=3764420437,2679249093
dimwishlist:item=694500607&perks=3764420437,654512643
dimwishlist:item=694500607&perks=3978468247,2360754333
dimwishlist:item=694500607&perks=3978468247,2679249093
dimwishlist:item=694500607&perks=3978468247,654512643
dimwishlist:item=694500607&perks=3418782618,2360754333
dimwishlist:item=694500607&perks=3418782618,2679249093
dimwishlist:item=694500607&perks=3418782618,654512643

// Lotus-Eater
//notes:[Rank]: 2 / [Priority]: medium / [Role]: energy rocket sidearm / [Source]: Pinnacle Ops / [Alternatives]: Returned Memory, Indebted Kindness, Aberrant Action | tags: aegis endgame pve
dimwishlist:item=3922217119&perks=776531651,2048641572
dimwishlist:item=3922217119&perks=776531651,1134488199
dimwishlist:item=3922217119&perks=3700496672,2048641572
dimwishlist:item=3922217119&perks=3700496672,1134488199
dimwishlist:item=924095500&perks=776531651,2048641572
dimwishlist:item=924095500&perks=776531651,3708227201
dimwishlist:item=924095500&perks=776531651,1134488199
dimwishlist:item=924095500&perks=1421772400,2048641572
dimwishlist:item=924095500&perks=1421772400,3708227201
dimwishlist:item=924095500&perks=1421772400,1134488199
dimwishlist:item=837298567&perks=776531651,2048641572
dimwishlist:item=837298567&perks=776531651,3708227201
dimwishlist:item=837298567&perks=776531651,1134488199
dimwishlist:item=837298567&perks=1421772400,2048641572
dimwishlist:item=837298567&perks=1421772400,3708227201
dimwishlist:item=837298567&perks=1421772400,1134488199
dimwishlist:item=2697143634&perks=776531651,2048641572
dimwishlist:item=2697143634&perks=776531651,1134488199
dimwishlist:item=2697143634&perks=3700496672,2048641572
dimwishlist:item=2697143634&perks=3700496672,1134488199

// Lotus-Eater
//notes:[Rank]: 2 / [Priority]: medium / [Role]: energy StL special / [Alternatives]: Apostate | tags: aegis endgame pve
dimwishlist:item=3922217119&perks=3700496672,1134488199
dimwishlist:item=3922217119&perks=3700496672,2048641572
dimwishlist:item=2697143634&perks=3700496672,1134488199
dimwishlist:item=2697143634&perks=3700496672,2048641572

// Chronophage
//notes:[Rank]: 2 / [Priority]: medium / [Role]: energy trace / [Source]: Encore / [Alternatives]: Hollow Denial, Retraced Path, Acasia's Dejection | tags: aegis endgame pve
dimwishlist:item=1886840007&perks=776531651,2048641572
dimwishlist:item=1886840007&perks=776531651,2109543898
dimwishlist:item=1886840007&perks=3700496672,2048641572
dimwishlist:item=1886840007&perks=3700496672,2109543898

// Parasite
//notes:[Rank]: 2 / [Priority]: medium / [Role]: exotic burst heavy / [Source]: Exotic quest / [Alternatives]: Whirling Ovation, Grand Overture | tags: aegis endgame pve
dimwishlist:item=2812324400&perks=

// Relativism
//notes:[Rank]: 2 / [Priority]: medium / [Role]: hunter roam / [Source]: Xur, Dual Destiny / [Alternatives]: Gifted Conviction, Radiant Dance Machines, Fortune's Favor | tags: aegis endgame pve
dimwishlist:item=2809120022&perks=

// Ouster Engine
//notes:[Rank]: 2 / [Priority]: medium / [Role]: kinetic area denial / [Source]: Pinnacle Ops / [Alternatives]: Festival Flight, Lost Signal | tags: aegis endgame pve
dimwishlist:item=2223968549&perks=1421772400,2396489472
dimwishlist:item=2223968549&perks=1421772400,3764420437
dimwishlist:item=2223968549&perks=1421772400,2922950962
dimwishlist:item=2223968549&perks=3300816228,2396489472
dimwishlist:item=2223968549&perks=3300816228,3764420437
dimwishlist:item=2223968549&perks=3300816228,2922950962
dimwishlist:item=2223968549&perks=1955165503,2396489472
dimwishlist:item=2223968549&perks=1955165503,3764420437
dimwishlist:item=2223968549&perks=1955165503,2922950962
dimwishlist:item=3718184802&perks=1421772400,2396489472
dimwishlist:item=3718184802&perks=1421772400,3764420437
dimwishlist:item=3718184802&perks=1421772400,2922950962
dimwishlist:item=3718184802&perks=3300816228,2396489472
dimwishlist:item=3718184802&perks=3300816228,3764420437
dimwishlist:item=3718184802&perks=3300816228,2922950962
dimwishlist:item=3718184802&perks=1955165503,2396489472
dimwishlist:item=3718184802&perks=1955165503,3764420437
dimwishlist:item=3718184802&perks=1955165503,2922950962

// Threat Level
//notes:[Rank]: 2 / [Priority]: medium / [Role]: kinetic DPS shotgun / [Source]: Pantheon / [Alternatives]: Heritage, Perfect Paradox, Until Its Return | tags: aegis endgame pve
dimwishlist:item=1523151869&perks=3751912585,1226351311
dimwishlist:item=1523151869&perks=3751912585,2360754333
dimwishlist:item=1523151869&perks=3751912585,3640170453
dimwishlist:item=1523151869&perks=2679249093,1226351311
dimwishlist:item=1523151869&perks=2679249093,2360754333
dimwishlist:item=1523151869&perks=2679249093,3640170453
dimwishlist:item=1523151869&perks=1556840489,1226351311
dimwishlist:item=1523151869&perks=1556840489,2360754333
dimwishlist:item=1523151869&perks=1556840489,3640170453
dimwishlist:item=950894542&perks=3751912585,1226351311
dimwishlist:item=950894542&perks=3751912585,2360754333
dimwishlist:item=950894542&perks=3751912585,3640170453
dimwishlist:item=950894542&perks=2679249093,1226351311
dimwishlist:item=950894542&perks=2679249093,2360754333
dimwishlist:item=950894542&perks=2679249093,3640170453
dimwishlist:item=950894542&perks=1556840489,1226351311
dimwishlist:item=950894542&perks=1556840489,2360754333
dimwishlist:item=950894542&perks=1556840489,3640170453

// High Albedo
//notes:[Rank]: 2 / [Priority]: medium / [Role]: kinetic rocket sidearm / [Source]: Europa / [Alternatives]: Tinasha's Mastery, The Call | tags: aegis endgame pve
dimwishlist:item=2662459958&perks=2289534249,3891536761
dimwishlist:item=2662459958&perks=2289534249,1226351311
dimwishlist:item=2662459958&perks=2289534249,1202584452
dimwishlist:item=2662459958&perks=1556840489,3891536761
dimwishlist:item=2662459958&perks=1556840489,1226351311
dimwishlist:item=2662459958&perks=1556840489,1202584452
dimwishlist:item=2662459958&perks=1517798362,3891536761
dimwishlist:item=2662459958&perks=1517798362,1226351311
dimwishlist:item=2662459958&perks=1517798362,1202584452

// Vulpecula
//notes:[Rank]: 2 / [Priority]: medium / [Role]: kinetic StL primary / [Source]: Shattered Throne / [Alternatives]: Service Revolver, Seventh Seraph Officer Revolver, Corundum Hammer | tags: aegis endgame pve
dimwishlist:item=1622998472&perks=3700496672,3038247973
dimwishlist:item=3245446311&perks=3700496672,3038247973

// Unsworn
//notes:[Rank]: 2 / [Priority]: medium / [Role]: kinetic trace / [Source]: Sundered Doctrine / [Alternatives]: Incisor, Action Item | tags: aegis endgame pve
dimwishlist:item=1303313141&perks=3700496672,831391274
dimwishlist:item=1303313141&perks=3700496672,4198902903
dimwishlist:item=1303313141&perks=960997401,831391274
dimwishlist:item=1303313141&perks=960997401,4198902903
dimwishlist:item=3462679024&perks=3700496672,3640170453
dimwishlist:item=3462679024&perks=3700496672,831391274
dimwishlist:item=3462679024&perks=3700496672,4198902903
dimwishlist:item=3462679024&perks=960997401,3640170453
dimwishlist:item=3462679024&perks=960997401,831391274
dimwishlist:item=3462679024&perks=960997401,4198902903

// Gizmo Weft
//notes:[Rank]: 2 / [Priority]: medium / [Role]: movement GL / [Source]: Tenet of Bravery / [Alternatives]: Theodolite | tags: aegis endgame pve
dimwishlist:item=4069880346&perks=1421772400,1439600632
dimwishlist:item=1572604081&perks=1421772400,1439600632

// Falling Guillotine
//notes:[Rank]: 2 / [Priority]: medium / [Role]: movement sword / [Source]: Onslaught / [Alternatives]: The Slammer, False Idols, Sullen Claw | tags: aegis endgame pve
dimwishlist:item=614426548&perks=1749209109,3708227201
dimwishlist:item=1815105249&perks=243981275,2077819806
dimwishlist:item=1815105249&perks=243981275,3708227201
dimwishlist:item=1815105249&perks=1749209109,2077819806
dimwishlist:item=1815105249&perks=1749209109,3708227201
dimwishlist:item=1815105249&perks=4104185692,2077819806
dimwishlist:item=1815105249&perks=4104185692,3708227201
dimwishlist:item=243425374&perks=243981275,2077819806
dimwishlist:item=243425374&perks=243981275,3708227201
dimwishlist:item=243425374&perks=1749209109,2077819806
dimwishlist:item=243425374&perks=1749209109,3708227201
dimwishlist:item=243425374&perks=4104185692,2077819806
dimwishlist:item=243425374&perks=4104185692,3708227201
dimwishlist:item=2480871539&perks=243981275,2077819806
dimwishlist:item=2480871539&perks=243981275,1089671869
dimwishlist:item=2480871539&perks=243981275,3708227201
dimwishlist:item=2480871539&perks=1749209109,2077819806
dimwishlist:item=2480871539&perks=1749209109,1089671869
dimwishlist:item=2480871539&perks=1749209109,3708227201
dimwishlist:item=2480871539&perks=4104185692,2077819806
dimwishlist:item=2480871539&perks=4104185692,1089671869
dimwishlist:item=2480871539&perks=4104185692,3708227201

// Wormgod Caress
//notes:[Rank]: 2 / [Priority]: medium / [Role]: titan roam / [Source]: Rahool / [Alternatives]: Synthoceps, Point-Contact Cannon Brace, Stoicism | tags: aegis endgame pve
dimwishlist:item=809007411&perks=
dimwishlist:item=1734844651&perks=
dimwishlist:item=1203306856&perks=

// Sanguine Alchemy
//notes:[Rank]: 2 / [Priority]: medium / [Role]: warlock DPS / [Source]: Rahool / [Alternatives]: Boots of the Assembler, Winter's Guile, Mataiodoxía | tags: aegis endgame pve
dimwishlist:item=2422973183&perks=
dimwishlist:item=3070555693&perks=
dimwishlist:item=2966741808&perks=

// Verity's Brow
//notes:[Rank]: 2 / [Priority]: medium / [Role]: warlock roam / [Source]: Rahool / [Alternatives]: Winter's Guile, Dawn Chorus, Boots of the Assembler | tags: aegis endgame pve
dimwishlist:item=2897117448&perks=
dimwishlist:item=2428181146&perks=
dimwishlist:item=2553961985&perks=

// Perfect Paradox
//notes:[Rank]: 3 / [Priority]: low / [Role]: 12P shotgun / [Source]: World, Banshee / [Alternatives]: Basso Ostinato, IKELOS_SG_v1.0.3, One Small Step | tags: aegis endgame pve
dimwishlist:item=3393519051&perks=4071163871,2679249093
dimwishlist:item=3393519051&perks=4071163871,2360754333
dimwishlist:item=1298672084&perks=691659142,2679249093
dimwishlist:item=1298672084&perks=691659142,2360754333
dimwishlist:item=1298672084&perks=4071163871,2679249093
dimwishlist:item=1298672084&perks=4071163871,2360754333
dimwishlist:item=4108648762&perks=691659142,2679249093
dimwishlist:item=4108648762&perks=691659142,2360754333
dimwishlist:item=4108648762&perks=691659142,1226351311
dimwishlist:item=4108648762&perks=1517798362,2679249093
dimwishlist:item=4108648762&perks=1517798362,2360754333
dimwishlist:item=4108648762&perks=1517798362,1226351311
dimwishlist:item=4108648762&perks=4071163871,2679249093
dimwishlist:item=4108648762&perks=4071163871,2360754333
dimwishlist:item=4108648762&perks=4071163871,1226351311

// Corrective Measure
//notes:[Rank]: 3 / [Priority]: low / [Role]: add clear LMG / [Source]: Vault of Glass / [Alternatives]: Hammerhead, Song of Ir Yût, Pro Memoria | tags: aegis endgame pve
dimwishlist:item=471518543&perks=3523296417,4049631843
dimwishlist:item=3654744298&perks=3523296417,557221067
dimwishlist:item=3654744298&perks=3523296417,1464081238
dimwishlist:item=3654744298&perks=3523296417,4049631843
dimwishlist:item=3654744298&perks=2048641572,557221067
dimwishlist:item=3654744298&perks=2048641572,1464081238
dimwishlist:item=3654744298&perks=2048641572,4049631843
dimwishlist:item=3654744298&perks=3201496230,557221067
dimwishlist:item=3654744298&perks=3201496230,1464081238
dimwishlist:item=3654744298&perks=3201496230,4049631843

// Bellowing Giant
//notes:[Rank]: 3 / [Priority]: low / [Role]: add clear rocket / [Source]: Arena Ops / [Alternatives]: Apex Predator, The When and Where, Pyroclastic Flow | tags: aegis endgame pve
dimwishlist:item=412265080&perks=1421772400,1439600632
dimwishlist:item=412265080&perks=3643424744,1439600632
dimwishlist:item=1889005379&perks=1421772400,1439600632
dimwishlist:item=1889005379&perks=3643424744,1439600632

// Alethonym
//notes:[Rank]: 3 / [Priority]: low / [Role]: ammo generator / [Source]: Kiosk / [Alternatives]: Ice Breaker | tags: aegis endgame pve
dimwishlist:item=2350354266&perks=

// Edge Transit
//notes:[Rank]: 3 / [Priority]: low / [Role]: DPS drum GL / [Source]: Onslaught / [Alternatives]: VS Chill Inhibitor, The Ever-Present, Koraxis's Distress | tags: aegis endgame pve
dimwishlist:item=568611923&perks=3751912585,3194351027
dimwishlist:item=568611923&perks=3751912585,3078487919
dimwishlist:item=568611923&perks=2396489472,3194351027
dimwishlist:item=568611923&perks=2396489472,3078487919
dimwishlist:item=2228325504&perks=3751912585,3194351027
dimwishlist:item=2228325504&perks=3751912585,3078487919
dimwishlist:item=2228325504&perks=2396489472,3194351027
dimwishlist:item=2228325504&perks=2396489472,3078487919
dimwishlist:item=3736001863&perks=3751912585,3194351027
dimwishlist:item=3736001863&perks=3751912585,3078487919
dimwishlist:item=3736001863&perks=3751912585,1089671869
dimwishlist:item=3736001863&perks=3987942396,3194351027
dimwishlist:item=3736001863&perks=3987942396,3078487919
dimwishlist:item=3736001863&perks=3987942396,1089671869
dimwishlist:item=3736001863&perks=2396489472,3194351027
dimwishlist:item=3736001863&perks=2396489472,3078487919
dimwishlist:item=3736001863&perks=2396489472,1089671869

// Bequest
//notes:[Rank]: 3 / [Priority]: low / [Role]: DPS sword / [Source]: Deep Stone Crypt / [Alternatives]: Synanceia, Sullen Claw, Wolfsbane | tags: aegis endgame pve
dimwishlist:item=3366545721&perks=1749209109,1089671869
dimwishlist:item=3366545721&perks=1749209109,3708227201
dimwishlist:item=3366545721&perks=1749209109,3201496230
dimwishlist:item=3366545721&perks=3966416502,1089671869
dimwishlist:item=3366545721&perks=3966416502,3708227201
dimwishlist:item=3366545721&perks=3966416502,3201496230

// Omniscient Eye
//notes:[Rank]: 3 / [Priority]: low / [Role]: energy DPS sniper / [Source]: Garden of Salvation / [Alternatives]: Rapid Growth, Embraced Identity, Adored | tags: aegis endgame pve
dimwishlist:item=147444292&perks=1354429876,1089671869
dimwishlist:item=147444292&perks=1354429876,555281244
dimwishlist:item=147444292&perks=1556840489,1089671869
dimwishlist:item=147444292&perks=1556840489,555281244

// Compact Defender
//notes:[Rank]: 3 / [Priority]: low / [Role]: energy legendary primary / [Source]: Renegades / [Alternatives]: Reckless Oracle, IRONWOOD 03, Bug-Out Bag | tags: aegis endgame pve
dimwishlist:item=2819552809&perks=2048641572,776531651
dimwishlist:item=2659286158&perks=2048641572,776531651

// Kindled Orchid
//notes:[Rank]: 3 / [Priority]: low / [Role]: energy StL primary / [Source]: Arena Ops / [Alternatives]: Vouchsafe, Nature Reclaimed, Tarnished Mettle | tags: aegis endgame pve
dimwishlist:item=3961462214&perks=3700496672,3038247973
dimwishlist:item=334964261&perks=3700496672,3038247973

// No Hesitation
//notes:[Rank]: 3 / [Priority]: low / [Role]: energy support auto / [Source]: Pale Heart / [Alternatives]: Cusp Sempiternal, Chrysura Melo | tags: aegis endgame pve
dimwishlist:item=1801007332&perks=2980589453,3640170453
dimwishlist:item=1801007332&perks=2980589453,243981275

// Collective Obligation
//notes:[Rank]: 3 / [Priority]: low / [Role]: exotic energy primary / [Source]: Vow of the Disciple / [Alternatives]: Graviton Lance, Vex Mythoclast | tags: aegis endgame pve
dimwishlist:item=3505113722&perks=

// Khvostov 7G-0X
//notes:[Rank]: 3 / [Priority]: low / [Role]: exotic kinetic primary / [Source]: Exotic quest / [Alternatives]: Necrochasm, Osteo Striga, The Huckleberry | tags: aegis endgame pve
dimwishlist:item=4129629253&perks=

// Bastion
//notes:[Rank]: 3 / [Priority]: low / [Role]: exotic melee buff / [Source]: Kiosk / [Alternatives]: The Navigator | tags: aegis endgame pve
dimwishlist:item=2415517654&perks=

// Anarchy
//notes:[Rank]: 3 / [Priority]: low / [Role]: exotic tick heavy / [Source]: Kiosk / [Alternatives]: Finality's Auger | tags: aegis endgame pve
dimwishlist:item=2376481550&perks=

// Pure Recollection
//notes:[Rank]: 3 / [Priority]: low / [Role]: fast death / [Source]: Tenet of Bravery, Shaxx / [Alternatives]: Gunnora's Axe | tags: aegis endgame pve
dimwishlist:item=1956186483&perks=3987942396,1134488199

// Modified B-7 Pistol
//notes:[Rank]: 3 / [Priority]: low / [Role]: kinetic legendary primary / [Source]: Renegades / [Alternatives]: Multimach CCX, Submission, Scathelocke | tags: aegis endgame pve
dimwishlist:item=3146657388&perks=3824105627,124408337
dimwishlist:item=3146657388&perks=3824105627,2922950962
dimwishlist:item=1872906663&perks=3824105627,124408337
dimwishlist:item=1872906663&perks=3824105627,2922950962

// Adamantite
//notes:[Rank]: 3 / [Priority]: low / [Role]: kinetic support auto / [Source]: Xur / [Alternatives]: DECATUR 02 | tags: aegis endgame pve
dimwishlist:item=3229982889&perks=923806249,243981275
dimwishlist:item=2987244302&perks=923806249,243981275
dimwishlist:item=3485029080&perks=923806249,243981275
dimwishlist:item=601574723&perks=923806249,243981275

// The Helmsman
//notes:[Rank]: 3 / [Priority]: low / [Role]: precision roam total / [Source]: Crucible / [Alternatives]: New Land Beyond, Refurbished A499 | tags: aegis endgame pve
dimwishlist:item=2325078119&perks=3978468247,1089671869
dimwishlist:item=2325078119&perks=3978468247,654512643
dimwishlist:item=2325078119&perks=3978468247,1546637391
dimwishlist:item=2325078119&perks=2458610193,1089671869
dimwishlist:item=2325078119&perks=2458610193,654512643
dimwishlist:item=2325078119&perks=2458610193,1546637391
dimwishlist:item=2325078119&perks=957782887,1089671869
dimwishlist:item=2325078119&perks=957782887,654512643
dimwishlist:item=2325078119&perks=957782887,1546637391
dimwishlist:item=3215649176&perks=3978468247,1089671869
dimwishlist:item=3215649176&perks=3978468247,654512643
dimwishlist:item=3215649176&perks=3978468247,1546637391
dimwishlist:item=3215649176&perks=2458610193,1089671869
dimwishlist:item=3215649176&perks=2458610193,654512643
dimwishlist:item=3215649176&perks=2458610193,1546637391
dimwishlist:item=3215649176&perks=957782887,1089671869
dimwishlist:item=3215649176&perks=957782887,654512643
dimwishlist:item=3215649176&perks=957782887,1546637391

// Cuirass of the Falling Star
//notes:[Rank]: 3 / [Priority]: low / [Role]: titan DPS / [Source]: Rahool / [Alternatives]: Hallowfire Heart, Armamentarium, Hazardous Propulsion | tags: aegis endgame pve
dimwishlist:item=2321120637&perks=
dimwishlist:item=4057875770&perks=

// Vouchsafe
//notes:[Rank]: 3 / [Priority]: low / [Role]: Withering Gaze primary / [Source]: Dreaming City / [Alternatives]: Cusp Sempiternal, Aisha's Embrace, Joxer's Longsword | tags: aegis endgame pve
dimwishlist:item=3218302023&perks=3700496672,1134488199

// Lotus-Eater
//notes:[Rank]: 3 / [Priority]: low / [Role]: Withering Gaze special / [Alternatives]: Glacioclasm, Wilderflight, Father's Sins | tags: aegis endgame pve
dimwishlist:item=3922217119&perks=3700496672,1134488199
dimwishlist:item=2697143634&perks=3700496672,1134488199

// No Hesitation
//notes:[Tier]: S / [Notes]: best survivability support auto, also insane with Elemental Supercharger due to origin trait | tags: aegis endgame pve
dimwishlist:item=1801007332&perks=202670084,3142289711,2980589453,3640170453
dimwishlist:item=1801007332&perks=202670084,3142289711,2980589453,243981275
dimwishlist:item=1801007332&perks=202670084,3142289711,2980589453,4293542123
dimwishlist:item=1801007332&perks=202670084,3142289711,2890807135,3640170453
dimwishlist:item=1801007332&perks=202670084,3142289711,2890807135,243981275
dimwishlist:item=1801007332&perks=202670084,3142289711,2890807135,4293542123

// Cusp Sempiternal
//notes:[Tier]: S / [Notes]: would be insane with Physic, has great slot efficiency for debuff extension + support | tags: aegis endgame pve
dimwishlist:item=2579693381&perks=202670084,3142289711,692399809,1134488199
dimwishlist:item=2579693381&perks=202670084,3142289711,692399809,2048641572
dimwishlist:item=2579693381&perks=202670084,3142289711,692399809,3081867624
dimwishlist:item=2579693381&perks=202670084,3142289711,776531651,1134488199
