WEAPON,,INFO,,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Cold Comfort,29,Stasis,Aggressive,Ghosts of the Deep,,45,Yes,Quick Launch,Impact Casing,"Envious Assassin
Reconstruction
Vorpal Weapon","Aggregate Charge
Reaper's Tithe
Bipod",Restoration Ritual,built for burst but no double damage and no Envious Arsenal,14,A
,Crux Termination IV,23,Arc,Aggressive,Banshee,,45,Yes,Quick Launch,Impact Casing,"Reconstruction
Clown Cartridge
Slideshot","Bipod
Explosive Light
Surrounded",Wild Card,"doubles as add clear Pack rocket thanks to origin, damage perks are niche",15,B
,Haliaetus,27,Strand,High-Impact,"Tenet of Bravery, Banshee",,37,Yes,Quick Launch,Impact Casing,"Auto-Loading Holster
Cluster Bomb
Grave Robber","Aggregate Charge
Reaper's Tithe
Elemental Honing",Bray Legacy,"decent perk combos, just not the best frame",16,B
,Sleepless,29,Arc,High-Impact,Dreaming City,,36,Yes,Quick Launch,Impact Casing,Reconstruction,"Elemental Honing
Bait and Switch
Bipod",Advanced Reflexes,"similar to good archetypes with origin trait, Recon is okay",17,B
,Folded Root,27,Void,Aggressive,Tenet of Bravery,,37,Yes,Quick Launch,Impact Casing,"Cluster Bomb
Air Trigger","Bipod
Chain Reaction
Lasting Impression",Tenacity,basically Braytech except aggressive,18,B
,Heretic's Fervor,25,Stasis,Aggressive,Kell's Fall,,31,Yes,Quick Launch,Impact Casing,"Field Prep
Slideshot
Auto-Loading Holster","Bipod
Explosive Light",Dark Ether Reaper,not as versatile as Crux but similar quality origin,19,B
,Pyroclastic Flow,29,Solar,Precision,Nessus,,42,Yes,Quick Launch,Impact Casing,"Auto-Loading Holster
Cluster Bomb","Aggregate Charge
Bait and Switch
Bipod",Fail-deadly,probably best precision DPS rocket,20,C
,Micromort,28,Arc,Precision,Tenet of Bravery,,41,Yes,Quick Launch,Impact Casing,"Cluster Bomb
Envious Arsenal
Clown Cartridge","Bait and Switch
Bipod",Häkke Breach Armaments,"decent for Pack add clear, worst archetype for damage",21,C
,Ascendancy,29,Solar,Precision,Solo Ops,,35,Yes,Quick Launch,Impact Casing,"Reconstruction
Attrition Orbs","Reaper's Tithe
Explosive Light
Bipod",Vanguard Determination,"decent perks overall, just a precision",22,C
,Subzero Salvo,29,Arc,Precision,Europa,,34,Yes,Quick Launch,Impact Casing,"Auto-Loading Holster
Envious Assassin","Aggregate Charge
Explosive Light
Bipod",Winterized Gear,"decent perks overall, just a precision",23,C
,Braytech Osprey,21,Void,High-Impact,Zavala,,38,No,Quick Launch,Impact Casing,"Cluster Bomb
Envious Assassin
Field Prep","Bipod
Frenzy",Vanguard's Vindication,among the best for Pack add clear,24,C
,Faith-Keeper,29,Void,Precision,Encore,,36,Yes,Quick Launch,Impact Casing,"Clown Cartridge
Auto-Loading Holster
Field Prep","Bipod
Explosive Light",Radiolaria Transposer,among the best for Pack add clear,25,C
,Crowning Duologue,29,Strand,Precision,Tenet of Bravery,,45,Yes,Quick Launch,Impact Casing,"Reconstruction
Air Trigger
Demolitionist","Bipod
Deconstruct",Dream Work,among the best for Pack add clear,26,C
,Semiotician,29,Strand,High-Impact,Xur,,40,Yes,Quick Launch,Impact Casing,Field Prep,"Bipod
Explosive Light",Head Rush,little worse than the best add clear options but still good,27,C
,Blowout,19,Arc,Adaptive,Crucible,,29,Yes,Quick Launch,Impact Casing,"Field Prep
Demolitionist","Explosive Light
Frenzy",One Quiet Moment,less versatile Hothead,28,C
,Bump in the Night,29,Stasis,Aggressive,Presage,,40,Yes,Quick Launch,Impact Casing,"Demolitionist
Auto-Loading Holster
Field Prep","Frenzy
Chill Clip",Extrovert,solid archetype but very outdated damage perks,29,C
,Code Duello,13,Solar,High-Impact,"Xur, Dares",,42,No,Quick Launch,Impact Casing,"Auto-Loading Holster
Field Prep",Frenzy,None,okay archetype with outdated damage perks,30,D
,Palmyra-B,29,Stasis,Precision,Banshee,,42,Yes,Quick Launch,Impact Casing,Auto-Loading Holster,Explosive Light,Häkke Breach Armaments,ALH but precision and outdated damage eprk,31,D
,Hoosegow,11,Arc,Adaptive,Xur,,25,No,Quick Launch,Impact Casing,"Field Prep
Auto-Loading Holster","Cluster Bomb
Demolitionist",None,ALH but Cluster as best damage perk,32,D
,Royal Entry,13,Void,Precision,Zavala,,45,No,Quick Launch,Impact Casing,"Field Prep
Auto-Loading Holster","Clown Cartridge
Lasting Impression",Vanguard's Vindication,ALH but precision and outdated damage perk,33,E
,Shining Sphere,7,Arc,Adaptive,Iron Banner,,38,No,Quick Launch,Impact Casing,"Field Prep
Auto-Loading Holster",Demolitionist,None,ALH with no damage perk,34,F
