WEAPON,,INFO,,,,,,,PERKS,,,ANALYSIS,,
,"New Pacific Epitaph
RotN version",26,Stasis,Wave,70,Yes,Quick Launch,High-Velocity Rounds,"Demolitionist
Envious Arsenal
Lead from Gold","Redirection
Chain Reaction",Gravity Well,"solid ammo generator, interesting Redirection user",19,A
,Permafrost,28,Stasis,Wave,59,Yes,Quick Launch,High-Velocity Rounds,"Rimestealer
Demolitionist
Blast Distributor","Crystalline Corpsebloom
Reaper's Tithe
Wellspring",Dawning Surprise,decent perk spread but no Gravity Well vs. NPE,20,A
,Tusk of the Boar,29,Strand,Wave,69,Yes,Quick Launch,High-Velocity Rounds,"Slice
Slideways","Chain Reaction
Deconstruct",Field-Tested,"spam option with Slideways, Slice also solid",21,A
,Harsh Language,20,Void,Wave,57,No,Quick Launch,High-Velocity Rounds,"Field Prep
Wellspring
Envious Assassin","Destabilizing Rounds
Repulsor Brace",Field-Tested,Destabilizing buff + Field Prep affecting ammo gen makes this decent,22,B
,Explosive Personality,29,Solar,Wave,62,Yes,Quick Launch,High-Velocity Rounds,"Auto-Loading Holster
Field Prep","Frenzy
One for All",Land Tank,"great origin trait, decent ammo gen option but worse than Martyr's",23,B
,Salvager's Salvo,29,Arc,Lightweight,70,Yes,Quick Launch,Spike Grenades,"Chain Reaction
Trickle Charge
Demolitionist","Gear Shift
Voltshot
Reaper's Tithe",Accelerated Assault,"very unique roam perks, unfortunately a lightweight",24,B
,Undercurrent,24,Arc,Wave,68,Yes,Quick Launch,High-Velocity Rounds,"Ambitious Assassin
Lead from Gold
Field Prep","Voltshot
One for All",Vanguard's Vindication,solid ammo generator but mediocre origin and Voltshot synergy not great,25,B
,Wild Style,29,Solar,Double Fire,49,Yes,Quick Launch,"Spike Grenades
Disorienting Grenades",Reconstruction,"Bait and Switch
Vorpal Weapon",Tex Balanced Stock,"better damage perk than old Wilderlight, not much else",26,B
,The Militia's Birthright,20,Kinetic,Lightweight,61,No,Quick Launch,Disorienting Grenades,"Lead from Gold
Slideways","Auto-Loading Holster
Frenzy",Stunning Recovery,excellent QoL blinding option,27,B
,Ignition Code,25,Kinetic,Lightweight,64,Yes,Quick Launch,Disorienting Grenades,"Slideshot
Lead from Gold",Frenzy,Splicer Surge,"solid Slideshot option, less awkward than Liturgy but worse utility",28,C
,Pardon Our Dust,29,Kinetic,Lightweight,67,Yes,Quick Launch,Disorienting Grenades,Auto-Loading Holster,"Demolitionist
Vorpal Weapon",Hot Swap,enhanced ALH but no Chill Clip vs. Lingering,29,C
,Deafening Whisper,12,Void,Wave,48,No,Quick Launch,High-Velocity Rounds,"Ambitious Assassin
Lead from Gold","Wellspring
Auto-Loading Holster
Rampage",None,"worst wave, but archetype is still serviceable enough",30,C
,Empty Vessel,29,Solar,Lightweight,63,Yes,Quick Launch,Disorienting Grenades,"Auto-Loading Holster
Lead from Gold","Demolitionist
Vorpal Weapon",Field-Tested,usable blinding GL with swap damage options,31,C
,Orewing's Maul,6,Void,Lightweight,70,No,Quick Launch,Disorienting Grenades,Field Prep,"Auto-Loading Holster
Demolitionist",None,usable blinding GL,32,D
,Prodigal Return,29,Arc,Lightweight,64,Yes,Quick Launch,Spike Grenades,"Lead from Gold
Envious Assassin","Voltshot
Demolitionist",Noble Deeds,"no reload perk BGL, Voltshot synergy not great",33,D
,Truthteller,24,Void,Lightweight,65,Yes,Quick Launch,Disorienting Grenades,Grave Robber,Repulsor Brace,Field-Tested,worst archetype and awful perks,34,E
