WEAPON,,INFO,,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,A Sudden Death,29,Void,Aggressive,Prophecy,,38,Yes,Barrel Shroud,Assault Mag,"One-Two Punch
Discord
Reconstruction",Trench Barrel,Crossing Over,,13,A
,Pure Recollection,27,Void,Heavy Burst,"Tenet of Bravery, Shaxx",,40,Yes,Fluted Barrel,"Appended Mag
Ricochet Rounds","Envious Arsenal
High-Impact Reserves","Bait and Switch
Withering Gaze",Roar of Battle,,14,A
,Arcane Embrace,27,Arc,Heavy Burst,Tenet of Bravery,,42,Yes,Fluted Barrel,Appended Mag,"Fourth Time's the Charm
Reconstruction
Grave Robber","Aggregate Charge
Surrounded",Search Party,,15,A
,Until Its Return,29,Strand,Rapid,Xur,,54,Yes,Barrel Shroud,Tactical Mag,"Auto-Loading Holster
Overflow","Surrounded
Cascade Point
Trench Barrel",Unsated Hunger,,16,A
,Starscape Null,27,Solar,Lightweight,Epic Desert Perpetual,,29,Yes,Barrel Shroud,Assault Mag,"Rewind Rounds
Reconstruction
Envious Arsenal","One-Two Punch
Aggregate Charge
Trench Barrel",Frame of Reference,,17,B
,Swordbreaker,29,Strand,Lightweight,Crota's End,,25,Yes,Barrel Shroud,Assault Mag,"Slice
Demolitionist","One-Two Punch
Surrounded
Chaos Reshaped",Cursed Thrall,,18,B
,Xenoclast IV,29,Arc,Lightweight,Zavala,,23,Yes,Barrel Shroud,Assault Mag,"Grave Robber
Lead from Gold","One-Two Punch
Trench Barrel
Surrounded",Vanguard Determination,,19,B
,Last Man Standing,29,Solar,Aggressive,Gambit,,33,Yes,Barrel Shroud,Assault Mag,"Grave Robber
Lead from Gold","One-Two Punch
Trench Barrel
Discord",Gun and Run,,20,B
,Fractethyst,29,Stasis,Precision,Shattered Throne,,45,Yes,Barrel Shroud,Assault Mag,"One-Two Punch
Lead from Gold",Trench Barrel,Ignoble Deeds,,21,B
,MIDA Macro-Tool,27,Arc,MIDA Synergy,"Tenet of Bravery, Shaxx",,44,Yes,Barrel Shroud,Assault Mag,"Grave Robber
Discord","One-Two Punch
Trench Barrel",Roar of Battle,,22,B
,Compass Rose,29,Solar,Precision,Tenet of Bravery,,45,Yes,Barrel Shroud,Assault Mag,Grave Robber,"One-Two Punch
Trench Barrel",Dream Work,,23,B
,Trachinus,27,Stasis,Rapid Slug,Tenet of Bravery,,50,Yes,Fluted Barrel,Assault Mag,"Lead from Gold
Rapid Hit","Chill Clip
Precision Instrument",Tenacity,,24,B
,Gunnora's Axe,29,Solar,Pinpoint Slug,Iron Banner,,42,Yes,Fluted Barrel,"Extended Mag
Ricochet Rounds","Threat Detector
Heal Clip","Cascade Point
Precision Instrument
Incandescent",Suros Synergy,,25,B
,Prophet of Doom,29,Arc,Precision,Garden of Salvation,,48,Yes,Barrel Shroud,Assault Mag,"Reconstruction
Envious Arsenal","One-Two Punch
Gear Shift
Cascade Point",Photoinhibition,,26,C
,Seventh Seraph CQC-12,29,Solar,Lightweight,Cosmodrome,,27,Yes,Barrel Shroud,Assault Mag,Discord,"Chain Reaction
Surrounded
Trench Barrel",Eyes Up,,27,C
,Ded Gramarye IV,29,Arc,Lightweight,Banshee,,19,Yes,Barrel Shroud,Assault Mag,"Discord
Slickdraw","Chain Reaction
Surrounded
Vorpal Weapon",Wild Card,,28,C
,Python,29,Void,Aggressive,Gambit,,37,Yes,Barrel Shroud,Assault Mag,Overflow,"Trench Barrel
One-Two Punch
Withering Gaze",Gun and Run,,29,C
,Dead Weight,17,Arc,Rapid,Gambit,,49,No,Barrel Shroud,Tactical Mag,"Grave Robber
Auto-Loading Holster
Lead from Gold","Surrounded
Trench Barrel
One-Two Punch",Field-Tested,,30,C
,Someday,29,Kinetic,Precision,Pale Heart,,37,Yes,Barrel Shroud,Assault Mag,"One-Two Punch
Lead from Gold","Recombination
Vorpal Weapon",Dealer's Choice,,31,C
,Matador 64,29,Arc,Precision,Grasp of Avarice,,45,Yes,Barrel Shroud,Assault Mag,"Lead from Gold
Supercharged Magazine","One-Two Punch
Gear Shift",Unburied Treasure,,32,C
,Deadpan Delivery,22,Arc,Aggressive,Zavala,,28,No,Barrel Shroud,Assault Mag,"Discord
Overflow
Slickdraw","One-Two Punch
Trench Barrel",Vanguard's Vindication,,33,C
,Sojourner's Tale,25,Solar,Pinpoint Slug,"Xur, Dares",,43,Yes,Fluted Barrel,Assault Mag,"Auto-Loading Holster
Discord","Precision Instrument
Incandescent
Harmony",Splicer Surge,,34,C
,Astral Horizon,28,Kinetic,Aggressive,Trials,,40,Yes,Barrel Shroud,Assault Mag,"Lead from Gold
Stopping Power","All-Star
One-Two Punch
Vorpal Weapon",Wild Card,,35,C
,Precipial,27,Void,Precision,Kepler,,45,Yes,Barrel Shroud,Assault Mag,"One-Two Punch
Reconstruction","Vorpal Weapon
Discord",Exhaustive Research,,36,C
,Reckless Endangerment,29,Kinetic,Lightweight,Solo Ops,,26,Yes,Fluted Barrel,Assault Mag,Grave Robber,"Trench Barrel
All-Star",Vanguard Determination,,37,C
,Hawthorne's Field-Forged Shotgun,28,Stasis,Lightweight,"Tenet of Bravery, Banshee",,10,Yes,Barrel Shroud,Assault Mag,"Lead from Gold
Grave Robber",Chill Clip,Field-Tested,,38,C
,Scavenger's Fate,25,Void,Precision,"Xur, Kell's Fall?",,42,Yes,Barrel Shroud,Assault Mag,Discord,"Vorpal Weapon
Surrounded
Destabilizing Rounds",Dark Ether Reaper,,39,C
,Blasphemer,29,Kinetic,Pinpoint Slug,Moon,,48,Yes,Fluted Barrel,Assault Mag,Fourth Time's the Charm,All-Star,Loss,,40,C
,Fortissimo-11,29,Kinetic,Pinpoint Slug,Zavala,,45,Yes,Fluted Barrel,Assault Mag,Fourth Time's the Charm,"Vorpal Weapon
Focused Fury
Surrounded",Vanguard Determination,,41,D
,Nessa's Oblation,29,Void,Pinpoint Slug,Root of Nightmares,,49,Yes,Fluted Barrel,Assault Mag,Fourth Time's the Charm,"Vorpal Weapon
Focused Fury",Harmonic Resonance,,42,D
,Supercluster,29,Strand,Pinpoint Slug,Starcrossed,,46,Yes,Fluted Barrel,Assault Mag,"Fourth Time's the Charm
Slice
Lead from Gold","Cascade Point
Vorpal Weapon
Surrounded",Dragon's Vengeance,,43,D
,Without Remorse,29,Solar,Lightweight,Presage,,22,Yes,Barrel Shroud,Assault Mag,Threat Detector,"One-Two Punch
Vorpal Weapon",Extrovert,,44,D
,Retold Tale,29,Void,Precision,Dreaming City,,38,Yes,Barrel Shroud,Assault Mag,Quickdraw,"One-Two Punch
Withering Gaze",Advanced Reflexes,,45,D
,Wastelander M5,29,Kinetic,Lightweight,Dares,,26,Yes,Barrel Shroud,Assault Mag,"Pugilist
Lead from Gold","One-Two Punch
Trench Barrel",Hot Swap,,46,D
,Retrofuturist,29,Void,Lightweight,Crucible,,20,Yes,Barrel Shroud,Assault Mag,Auto-Loading Holster,"Trench Barrel
Vorpal Weapon
High Ground",Roar of Battle,,47,D
,Hand in Hand,20,Arc,Aggressive,Banshee,,32,No,Barrel Shroud,Assault Mag,Slideshot,"Trench Barrel
One-Two Punch
Cascade Point",Field-Tested,,48,D
,The Comedian,15,Void,Aggressive,Zavala,,40,No,Barrel Shroud,Assault Mag,Lead from Gold,"Trench Barrel
Vorpal Weapon",Stunning Recovery,,49,D
,Ragnhild-D,29,Kinetic,Aggressive,Banshee,,37,Yes,Barrel Shroud,Assault Mag,Auto-Loading Holster,One-Two Punch,Häkke Breach Armaments,,50,D
,Mindbender's Ambition,29,Solar,Aggressive,Zavala,,40,Yes,Barrel Shroud,Assault Mag,Threat Detector,"One-Two Punch
Vorpal Weapon",Problem Solver,,51,D
,Deadlock,29,Stasis,Precision,Crucible,,48,Yes,Barrel Shroud,Assault Mag,Quickdraw,"One-Two Punch
Vorpal Weapon",None,,52,D
,No Reprieve,29,Stasis,Pinpoint Slug,Xur,,41,Yes,Fluted Barrel,Assault Mag,Triple Tap,"Focused Fury
Surrounded",Right Hook,,53,E
,Legato-11,25,Solar,Pinpoint Slug,Banshee,,38,Yes,Fluted Barrel,Assault Mag,Auto-Loading Holster,"Focused Fury
Cascade Point
Vorpal Weapon",Suros Synergy,,54,E
,"First In, Last Out",11,Arc,Pinpoint Slug,Xur,,40,No,Fluted Barrel,Assault Mag,Auto-Loading Holster,"Vorpal Weapon
Surrounded",None,,55,E
,Bonechiller,29,Void,Pinpoint Slug,Europa,,40,Yes,Fluted Barrel,Assault Mag,"Triple Tap
Auto-Loading Holster
Lead from Gold",Precision Instrument,Winterized Gear,,56,E
,The Inquisitor,29,Arc,Pinpoint Slug,Trials,,52,Yes,Fluted Barrel,Assault Mag,Grave Robber,"Cascade Point
Vorpal Weapon",Roar of Battle,,57,E
,Riiswalker,29,Kinetic,Lightweight,Iron Banner,,25,Yes,Barrel Shroud,Assault Mag,"Discord
Slickdraw",Vorpal Weapon,Skulking Wolf,,58,E
,Toil and Trouble,4,Kinetic,Aggressive,Dares,,40,No,Barrel Shroud,Assault Mag,Auto-Loading Holster,Full-Auto Trigger System,None,,59,F
,Wishbringer,5,Solar,Rapid,"Shaxx, Dares",,64,No,Barrel Shroud,Tactical Mag,Grave Robber,Auto-Loading Holster,None,,60,F
