#,Pic,Name,Rarity,Slot,Affinity,Type,Ammo,Column 1,Column 2,Perk 1,Perk 2,Purpose,Usage,Source
1,,Ergo Sum,Exotic,Energy,,,,Enduring Blade,Swordmaster's Guard,"Wave frame
Vortex frame
Lightweight frame","Arc Conductor
Wolfpack Rounds
The Perfect Fifth","Movement
Add clear
Damage buff",Universal,Overthrow
2,,Festival Flight,Legendary,Kinetic,,,,Quick Launch,High-Velocity Rounds,"Slice
Demolitionist
Envious Arsenal","Attrition Orbs
One for All
Hatchling
Elemental Honing",Add clear,Universal,Tenet of Bravery
2,,Found Verdict,Legendary,Energy,,,,Barrel Shroud,Assault Mag,"Aggregate Charge
Discord","Trench Barrel
One-Two Punch
Elemental Honing
Gear Shift",Burst damage,Universal,Vault of Glass
2,,Heirloom,Exotic,Energy,,,,Fixed,Fixed,Fixed,Fixed,Burst damage,Universal,Equilibrium
2,,Izanagi's Burden,Exotic,Kinetic,,,,Fixed,Fixed,Fixed,Fixed,Burst damage,Universal,Monument to Lost Lights
2,,Keraunios,Legendary,Energy,,,,Fluted Barrel,Light Battery,Shoot to Loot,"Chain Reaction
Detonator Beam",QoL ammo pickups,Universal,Tenet of Bravery
2,,Lost Signal,Legendary,Kinetic,,,,Quick Launch,High-Velocity Rounds,"Auto-Loading Holster
Strategist","One for All
High Ground
Wellspring
Demolitionist",Add clear,Universal,Encore
2,,Mint Retrograde,Legendary,Kinetic,,,,Quick Launch,"High-Velocity Rounds
High-Explosive Ordnance","Rewind Rounds
Hatchling
Beacon Rounds","Master of Arms
Frenzy
Chain Reaction
Slice",Add clear,Universal,Pinnacle Ops
2,,Motif-41,Legendary,Energy,,,,Quick Launch,High-Velocity Rounds,"Auto-Loading Holster
Wellspring
Impulse Amplifier","Incandescent
Master of Arms
Attrition Orbs",Add clear,Universal,Tenet of Bravery
2,,No Hesitation,Legendary,Energy,,,,Fluted Barrel,Accurized Rounds,"Physic
Burning Ambition","Attrition Orbs
Chaos Reshaped
Incandescent","Damage buff
Super generation",Universal,Pale Heart 
2,,Ouster Engine,Legendary,Kinetic,,,,Quick Launch,High-Velocity Rounds,"Auto-Loading Holster
Air Trigger
Rimestealer","Chain Reaction
Chaos Reshaped
Crystalline Corpsebloom
Aggregate Charge",Add clear,Universal,Pinnacle Ops
2,,Path of Least Resistance,Legendary,Energy,,,,Fluted Barrel,Light Battery,Shoot to Loot,Voltshot,QoL ammo pickups,Universal,Operation: Seraph's Shield
2,,Perfect Paradox,Legendary,Kinetic,,,,Barrel Shroud,"Tactical Mag
Light Mag","Threat Detector
Threat Remover
Pugilist","One-Two Punch
Trench Barrel",Boss damage,Universal,World
2,,Psi Aeterna IV,Legendary,Energy,,,,Quick Launch,"High-Velocity Rounds
High-Explosive Ordnance","Beacon Rounds
Blast Distributor
Trickle Charge","One for All
Adrenaline Junkie
Rolling Storm",Add clear,Universal,Tenet of Bravery
2,,Psychopomp,Legendary,Energy,,,,Quick Launch,High-Velocity Rounds,"Auto-Loading Holster
Rolling Storm
Impromptu Ammunition
Demolitionist","Gear Shift
Attrition Orbs
Sword Logic
Voltshot",Add clear,Universal,Pit of Heresy
2,,Retraced Path,Legendary,Energy,,,,Fluted Barrel,Light Battery,"Shoot to Loot
Adaptive Munitions","Demolitionist
Disruption Break
Incandescent",QoL ammo pickups,Universal,Dares of Eternity
2,,Salvation's Grip,Exotic,Power,,,,Fixed,Fixed,Fixed,Fixed,DSM,Universal,Exotic quest
2,,Tessellation,Exotic,Energy,,,,Fixed,Fixed,Fixed,Fixed,Burst damage,Universal,Monument to Lost Lights
2,,The Deicide,Legendary,Energy,,,,Barrel Shroud,"Tactical Mag
Light Mag","Threat Detector
Auto-Loading Holster
Lead from Gold","One-Two Punch
Trench Barrel",Boss damage,Universal,Nessus
2,,Theodolite,Legendary,Energy,,,,Quick Launch,"High-Velocity Rounds
Spike Grenades",Reconstruction,Frenzy,Movement,Universal,Tenet of Bravery
2,,Threat Level,Legendary,Kinetic,,,,Barrel Shroud,Tactical Mag,"Cascade Point
One-Two Punch
Grave Robber","Elemental Honing
Aggregate Charge
All-Star",Burst damage,Universal,Pantheon
2,,Unsworn,Legendary,Kinetic,,,,Fluted Barrel,Light Battery,Shoot to Loot,"Detonator Beam
Chaos Reshaped
Hatchling",QoL ammo pickups,Universal,Sundered Doctrine
2,,Veillantif-D,Legendary,Energy,,,,Quick Launch,"High-Velocity Rounds
High-Explosive Ordnance","Air Trigger
Heal Clip
Sleight of Hand","Desperate Measures
Paracausal Affinity
Desperado",Add clear,Universal,SRL
2,,Volta Bracket,Legendary,Kinetic,,,,Fluted Barrel,Tactical Mag,Shoot to Loot,Explosive Payload,QoL ammo pickups,Universal,Neomuna
2,,VS Velocity Baton,Legendary,Energy,,,,Quick Launch,High-Velocity Rounds,"Demolitionist
Repulsor Brace
Envious Arsenal","Chain Reaction
Destabilizing Rounds
Attrition Orbs
Elemental Honing
",Add clear,Universal,Vesper's Host
2,,Worldline Zero,Exotic,Power,,,,Fixed,Fixed,Fixed,Fixed,Movement,"LW, KF",Monument to Lost Lights
3,,A Sudden Death,Legendary,Energy,,,,Barrel Shroud,Assault Mag,"One-Two Punch
Reconstruction","Trench Barrel
Elemental Honing",Burst damage,Universal,Prophecy
3,,Arcane Embrace,Legendary,Energy,,,,Fluted Barrel,Appended Mag,"Fourth Time's the Charm
Reconstruction
Grave Robber","Aggregate Charge
Surrounded",Boss damage,Universal,Tenet of Bravery
3,,Dead Messenger,Legendary,Energy,,,,Quick Launch,High-Velocity Rounds,Demolitionist,Fixed,Add clear,Universal,Vox Obscura
3,,Divinity,Exotic,Energy,,,,Fixed,Fixed,Fixed,Fixed,Damage debuff,Universal,Garden of Salvation
3,,Edge of Action,Exotic,Energy,,,,Lightweight Emitter,Appended Mag,Fixed,Short-Action Stock,Damage buff,Universal,Exotic quest
3,,"Edge Transit
BRAVE version",Legendary,Power,,,,Quick Launch,"Sticky Grenades
Spike Grenades",Cascade Point,"Explosive Light
Elemental Honing",Burst damage,Universal,Onslaught
3,,Eriana's Vow,Exotic,Energy,,,,Fixed,Fixed,Fixed,Fixed,"Oracles
Add clear","VoG, Duality, VotD",Monument to Lost Lights
3,,Ex Diris,Exotic,Energy,,,,Fixed,Fixed,Fixed,Fixed,Dying,Universal,Monument to Lost Lights
3,,Fafnir,Exotic,Power,,,,Fixed,Fixed,Fixed,Fixed,Damage debuff,Universal,S29 pass
3,,Finality's Auger,Exotic,Power,,,,Fixed,Fixed,Fixed,Fixed,Add clear,VoG,Sundered Doctrine
3,,Gunnora's Axe,Legendary,Energy,,,,Fluted Barrel,Ricochet Rounds,Lone Wolf,"Opening Shot
Cascade Point",Dying,Universal,Iron Banner
3,,Heritage,Legendary,Kinetic,,,,Fluted Barrel,Assault Mag,Redirection,"Recombination
Cascade Point",Burst damage,Universal,Deep Stone Crypt
3,,Hierarchy of Needs,Exotic,Energy,,,,Fixed,Fixed,Fixed,Fixed,Boss damage,Universal,Spire of the Watcher
3,,High Albedo,Legendary,Kinetic,,,,Quick Launch,High-Velocity Rounds,"Impulse Amplifier
Stopping Power","Recombination
Frenzy","Add clear
Dying",Universal,Europa
3,,Ice Breaker,Exotic,Energy,,,,Fixed,Fixed,Fixed,Fixed,Ammo generation,Universal,Vesper's Host
3,,IKELOS_SG_V1.0.3,Legendary,Energy,,,,Barrel Shroud,Tactical Mag,"Grave Robber
Pugilist
Threat Detector","One-Two Punch
Surrounded
Cascade Point",Boss damage,Universal,Operation: Seraph's Shield
3,,Imperial Decree,Legendary,Kinetic,,,,Barrel Shroud,Assault Mag,Auto-Loading Holster,"Trench Barrel
Surrounded",Burst damage,Universal,Xur
3,,Indebted Kindness,Legendary,Energy,,,,Quick Launch,High-Velocity Rounds,"Impulse Amplifier
Air Trigger
Beacon Rounds","Chain Reaction
Voltshot
Surrounded
Attrition Orbs","Add clear
Dying",Universal,Warlord's Ruin
3,,Kindled Orchid,Legendary,Energy,,,,Fluted Barrel,"Steady Rounds
Extended Mag",Shoot to Loot,Explosive Payload,QoL ammo pickups,Universal,Arena Ops
3,,Leviathan's Breath,Exotic,Power,,,,Fixed,Fixed,Fixed,Fixed,Boss damage,Universal,Monument to Lost Lights
3,,Lumina,Exotic,Kinetic,,,,Fixed,Fixed,Fixed,Fixed,"Movement
Damage buff",Universal,Monument to Lost Lights
3,,Merciless,Exotic,Energy,,,,Fixed,Fixed,Fixed,Fixed,Burst damage,Universal,Monument to Lost Lights
3,,New Malpais,Exotic,Kinetic,,,,Fixed,Fixed,Fixed,Fixed,"Add clear
Sticking objectives","TST, SotW",Monument to Lost Lights
3,,One Small Step,Legendary,Kinetic,,,,Barrel Shroud,Tactical Mag,"Grave Robber
Auto-Loading Holster","One-Two Punch
Trench Barrel",Boss damage,Universal,Moon
3,,Parasite,Exotic,Power,,,,Fixed,Fixed,Fixed,Fixed,Burst damage,Universal,Exotic quest
3,,Prometheus Lens,Exotic,Energy,,,,Fixed,Fixed,Fixed,Fixed,Super generation,Universal,Monument to Lost Lights
3,,Refurbished A499,Legendary,Power,,,,Fluted Barrel,Flared Magwell,"Lone Wolf
Snapshot Sights
Gutshot Straight","Aggregate Charge
Envious Assassin",Burst damage,Universal,Lawless Frontier
3,,Returned Memory,Legendary,Energy,,,,Quick Launch,High-Velocity Rounds,"Impulse Amplifier
Beacon Rounds",Redirection,"Add clear
Dying",Universal,Tenet of Bravery
3,,Service Revolver,Legendary,Kinetic,,,,Fluted Barrel,"Steady Rounds
Extended Mag",Shoot to Loot,Explosive Payload,QoL ammo pickups,Universal,Fireteam Ops
3,,Seventh Seraph Officer Revolver,Legendary,Kinetic,,,,Fluted Barrel,"Steady Rounds
Extended Mag",Shoot to Loot,Explosive Payload,QoL ammo pickups,Universal,Cosmodrome
3,,Stryker's Sure-Hand,Legendary,Power,,,,Jagged Edge,Swordmaster's Guard,Rampage,Redirection,Burst damage,CE,Arena Ops
3,,The Call,Legendary,Kinetic,,,,Quick Launch,High-Velocity Rounds,"Slice
Impulse Amplifier
Beacon Rounds","Hatchling
Chaos Reshaped
Desperate Measures","Add clear
Super generation
Dying",Universal,Pale Heart
3,,The Fourth Horseman,Exotic,Energy,,,,Fixed,Fixed,Fixed,Fixed,Burst damage,Universal,Monument to Lost Lights
3,,The Helmsman,Legendary,Energy,,,,Fluted Barrel,Tactical Mag,Snapshot Sights,"Vorpal Weapon
Box Breathing
Gear Shift",Burst damage,Universal,Crucible
3,,"The Mountaintop
BRAVE version",Legendary,Kinetic,,,,Quick Launch,"High-Velocity Rounds
Spike Grenades","Impulse Amplifier
Auto-Loading Holster
Overflow","Frenzy
Recombination","Movement
Burst damage",Universal,Onslaught
3,,The Navigator,Exotic,Kinetic,,,,Fixed,Fixed,Fixed,Fixed,Movement,Universal,Ghosts of the Deep
3,,The Wardcliff Coil,Exotic,Power,,,,Fixed,Fixed,Fixed,Fixed,Boss damage,"The Scarlet Keep, TST",World
3,,Tinasha's Mastery,Legendary,Kinetic,,,,Quick Launch,High-Velocity Rounds,"Impulse Amplifier
Air Trigger
Deconstruct","Surrounded
Chill Clip
Desperate Measures","Add clear
Dying",Universal,Iron Banner
3,,Trinity Ghoul,Exotic,Energy,,,,Fixed,Fixed,Fixed,Fixed,Add clear,Universal,World
3,,Truth,Exotic,Power,,,,Fixed,Fixed,Fixed,Fixed,Boss damage,Universal,Monument to Lost Lights
3,,Turncoat,Exotic,Energy,,,,Fixed,Fixed,Fixed,Fixed,Damage buff,Universal,S29 pass
3,,Uncivil Discourse,Legendary,Energy,,,,Fluted Barrel,Ionized Heatsink,"Quickdraw
Air Trigger","Frenzy
Desperate Measures",Add clear,Universal,Lawless Frontier
3,,Unvoiced,Legendary,Energy,,,,Fluted Barrel,Assault Mag,Redirection,"Elemental Honing
Bait and Switch
Vorpal Weapon",Burst damage,Universal,Sundered Doctrine
3,,Verglas Curve,Exotic,Kinetic,,,,Fixed,Fixed,Fixed,Fixed,Movement,"KF, RoN",Monument to Lost Lights
3,,VS Chill Inhibitor,Legendary,Power,,,,Quick Launch,Spike Grenades,Cascade Point,"Explosive Light
Surrounded
Elemental Honing
Aggregate Charge",Burst damage,Universal,Vesper's Host
3,,Vulpecula,Legendary,Kinetic,,,,Fluted Barrel,"Steady Rounds
Extended Mag",Shoot to Loot,Explosive Payload,QoL ammo pickups,Universal,Shattered Throne
3,,Whirling Ovation,Exotic,Power,,,,Fixed,Fixed,Fixed,Fixed,Burst damage,RoN,Desert Perpetual
3,,Wolfsbane,Exotic,Power,,,,Honed Edge,Jagged Edge,Burning Ambition,Fixed,Burst damage,CE,Heliostat
3,,Xenophage,Exotic,Power,,,,Fixed,Fixed,Fixed,Fixed,Oracles,VoG,Pit of Heresy
N/A,,Acasia's Dejection,Legendary,Energy,,,,Fluted Barrel,Light Battery,"Reconstruction
Field Prep","Frenzy
Paracausal Affinity","Avoiding primary swaps
Special single shot add clear",Universal,Root of Nightmares
N/A,,Apex Predator,Legendary,Power,,,,Quick Launch,Impact Casing,Reconstruction,"Bait and Switch
Bipod
Surrounded",Burst splash damage,Universal,Last Wish
N/A,,Arbalest,Exotic,Kinetic,,,,Fixed,Fixed,Fixed,Fixed,"Single target piercing damage
Intrinsic Barrier",GMs,Intro exotic quest
N/A,,Bad Juju,Exotic,Kinetic,,,,Fixed,Fixed,Fixed,Fixed,Farming super,Universal,Monument to Lost Lights
N/A,,Bastion,Exotic,Kinetic,,,,Fixed,Fixed,Fixed,Fixed,"Object destruction
Intrinsic Unstoppable
Ranged long duration 12P","DSC, Prophecy, Lake of Shadows, etc.",Monument to Lost Lights
N/A,,Bitter/Sweet,Legendary,Power,,,,Quick Launch,"Spike Grenades
Mini Frags",Envious Arsenal,Bait and Switch,Non-rocket burst damage,Universal,S25 pool
N/A,,Briar's Contempt,Legendary,Power,,,,Fluted Barrel,Accelerated Coils,Rewind Rounds,Surrounded,Specialized sustained damage,Universal,Root of Nightmares
N/A,,Bump in the Night,Legendary,Power,,,,Quick Launch,Impact Casing,"Demolitionist
Auto-Loading Holster","Chill Clip
Frenzy",Chill Clip application,SotW,Presage
N/A,,Calus Mini-Tool,Legendary,Energy,,,,Fluted Barrel,Flared Magwell,Threat Detector,Incandescent,General primary,Universal,Presage
N/A,,Cataclysmic,Legendary,Power,,,,Fluted Barrel,Enhanced Battery,Fourth Time's The Charm,Bait and Switch,Ranged sustained damage,Universal,Vow of the Disciple
N/A,,Cataphract GL3,Legendary,Power,,,,Quick Launch,Spike Grenades,"Envious Assassin
Auto-Loading Holster","Bait and Switch
Cascade Point",Non-rocket burst damage,N/A,Trials of Osiris
N/A,,Cold Comfort,Legendary,Power,,,,Quick Launch,Impact Casing,Envious Assassin,Bait and Switch,Burst splash damage,Universal,Ghosts of the Deep
N/A,,Commemoration,Legendary,Power,,,,Fluted Barrel,Extended Mag,"Reconstruction
Subsistence","Killing Tally
Rampage",General add clear,Universal,Deep Stone Crypt
N/A,,Conditional Finality,Exotic,Kinetic,,,,Fixed,Fixed,Fixed,Fixed,"Unstoppable stun
Instant freeze or ignite",Universal,Root of Nightmares
N/A,,Corrective Measure,Legendary,Power,,,,Fluted Barrel,Flared Magwell,"Demolitionist
Subsistence",Firefly,General add clear,Universal,Vault of Glass
N/A,,Critical Anomaly,Legendary,Kinetic,,,,Fluted Barrel,Tactical Mag,"Chill Clip
Rewind Rounds",Chaos Reshaped,Artifact-independent Overload,Universal,Salvation's Edge
N/A,,Crux Termination IV,Legendary,Power,,,,Quick Launch,Impact Casing,"Slideshot
Reconstruction
Clown Cartridge","Surrounded
Bipod","Niche boss damage
Burst splash damage",GMs,World drop
N/A,,Cynosure,Legendary,Power,,,,Quick Launch,Impact Casing,"Envious Arsenal
Overflow
Clown Cartridge","Elemental Honing
Bipod
High Ground",Burst splash damage,Universal,Vanguard pool
N/A,,Dead Weight,Legendary,Energy,,,,Barrel Shroud,Tactical Mag,"Grave Robber
Auto-Loading Holster
Lead from Gold","One-Two Punch
Surrounded
Frenzy
Vorpal Weapon","One-two punch
Major burst
Fast single weapon damage",Universal,Gambit pool
N/A,,Deafening Whisper,Legendary,Energy,,,,Quick Launch,High-Velocity Rounds,Ambitious Assassin,"Wellspring
Auto-Loading Holster
Unrelenting",Ammo efficient add clear,Universal,Dares of Eternity (rotation)
N/A,,Defiance of Yasmin,Legendary,Kinetic,,,,Fluted Barrel,Extended Mag,"Shoot to Loot
Ensemble
Lead From Gold","Slickdraw
Firing Line","Shoot to loot kinetic
Augmenting damage",Universal,King's Fall
N/A,,Distant Tumulus,Legendary,Energy,,,,Fluted Barrel,Tactical Mag,Clown Cartridge,Firing Line,"Quick ranged hitscan kills
Breaking eyes","GoS, SotW",Dares of Eternity (rotation)
N/A,,Empty Vessel,Legendary,Energy,,,,Quick Launch,"Disorienting Grenades
Spike Grenades",Auto-Loading Holster,"Demolitionist
Danger Zone
Vorpal Weapon","Blinding enemies
Filling ranged swap rotation",Universal,Vanguard pool
N/A,,Explosive Personality,Legendary,Energy,,,,Quick Launch,High-Velocity Rounds,"Auto-Loading Holster
Threat Detector","Frenzy
Unrelenting",Ammo efficient add clear,Universal,Vox Obscura
N/A,,"First In, Last Out",Legendary,Energy,,,,Fluted Barrel,Assault Mag,Auto-Loading Holster,"Vorpal Weapon
Surrounded",Double slug,Universal,Dares of Eternity (rotation)
N/A,,Fixed Odds,Legendary,Power,,,,Arrowhead Brake,Extended Mag,Field Prep,Incandescent,General add clear,Universal,Duality
N/A,,Forbearance,Legendary,Energy,,,,Quick Launch,High-Velocity Rounds,"Ambitious Assassin
Unrelenting
Genesis","Chain Reaction
Wellspring",Ammo efficient add clear,Universal,Vow of the Disciple
N/A,,"Forbearance
BRAVE version",Legendary,Energy,,,,Quick Launch,High-Velocity Rounds,"Demolitionist
Ambitious Assassin
Unrelenting","Chain Reaction
Desperate Measures",Ammo efficient add clear,Universal,Onslaught
N/A,,Fortissimo-11,Legendary,Kinetic,,,,Fluted Barrel,Assault Mag,"Threat Detector
Demolitionist
Fourth Time's the Charm","Vorpal Weapon
Surrounded
Frenzy",Double slug,Universal,Vanguard pool
N/A,,Funnelweb,Legendary,Energy,,,,Fluted Barrel,Flared Magwell,"Subsistence
Steady Hands
Perpetual Motion",Frenzy,General primary,Universal,World drop
N/A,,Grand Overture,Exotic,Power,,,,Fixed,Fixed,Fixed,Fixed,Extremely high burst,Universal,Monument to Lost Lights
N/A,,Gunnora's Axe,Legendary,Energy,,,,Fluted Barrel,Tactical Mag,Auto-Loading Holster,Vorpal Weapon,Double slug,Universal,Iron Banner pool
N/A,,Half-Truths,Legendary,Power,,,,"Enduring Blade
Jagged Edge","Heavy Guard
Swordmaster's Guard","Duelist's Trance
Tireless Blade",Eager Edge,Movement,Universal,Dares of Eternity
N/A,,Harsh Language,Legendary,Energy,,,,Quick Launch,High-Velocity Rounds,"Wellspring
Field Prep","Repulsor Brace
Destabilizing Rounds",Ammo efficient add clear,Universal,World drop
N/A,,Hollow Denial,Legendary,Energy,,,,Fluted Barrel,Light Battery,Lead From Gold,"Repulsor Brace
Wellspring","Avoiding primary swaps
Special single shot add clear",Universal,Presage
N/A,,Ignition Code,Legendary,Kinetic,,,,Quick Launch,Disorienting Grenades,Slideshot,"Demolitionist
Frenzy
Danger Zone",Blinding enemies,Universal,Dares of Eternity (rotation)
N/A,,IKELOS_SMG_V1.0.2,Legendary,Energy,,,,Fluted Barrel,"Seraph Rounds
Flared Magwell",Threat Detector,"Demolitionist
Surrounded",General primary,Universal,N/A
N/A,,IKELOS_SMG_V1.0.3,Legendary,Energy,,,,Fluted Barrel,"Seraph Rounds
Flared Magwell","Shoot to Loot
Threat Detector","Voltshot
Surrounded
Frenzy",General primary,Universal,Operation: Seraph's Shield
N/A,,IKELOS_SR_V1.0.2,Legendary,Energy,,,,Fluted Barrel,Tactical Mag,"Fourth Time's The Charm
Triple Tap","High-Impact Reserves
Quickdraw","Quick ranged hitscan kills
Breaking eyes","GoS, SotW",Operation: Seraph's Shield
N/A,,IKELOS_SR_V1.0.3,Legendary,Energy,,,,Fluted Barrel,Tactical Mag,"Fourth Time's The Charm
Overflow","High-Impact Reserves
Slickdraw","Quick ranged hitscan kills
Breaking eyes","GoS, SotW",Operation: Seraph's Shield
N/A,,Ill Omen,Legendary,Power,,,,Jagged Edge,Swordmaster's Guard,"Attrition Orbs
Relentless Strikes","Whirlwind Blade
Surrounded",Sword boss damage,"CE, SE",S24 pool
N/A,,Indebted Kindness,Legendary,Energy,,,,Quick Launch,Tactical Mag,"Impulse Amplifier
Lead From Gold","Surrounded
Voltshot","Avoiding primary swaps
Ammo efficient fast add clear",Universal,Warlord's Ruin
N/A,,Judgment of Kelgorath,Legendary,Energy,,,,Tempered Truss Rod,Swap Mag,Pugilist,Close to Melee,Melee sustained damage,Universal,Operation: Seraph's Shield
N/A,,Koraxis's Distress,Legendary,Power,,,,Quick Launch,Spike Grenades,"Envious Assassin
Reconstruction",Surrounded,Situational non-rocket burst,"GoS, LW",Root of Nightmares
N/A,,Legato-11,Legendary,Energy,,,,Fluted Barrel,Assault Mag,Auto-Loading Holster,"Vorpal Weapon
Cascade Point","Double slug
Damage rotation fill",Universal,World drop
N/A,,Lingering Dread,Legendary,Kinetic,,,,Quick Launch,Disorienting Grenades,Auto-Loading Holster,Chill Clip,"Blinding enemies
Chill Clip application",Universal,Duality
N/A,,Liturgy,Legendary,Kinetic,,,,Quick Launch,"Spike Grenades
Disorienting Grenades","Envious Arsenal
Slideways",Chill Clip,"Blinding Overload option
Filling ranged swap rotation",Universal,S25 pool
N/A,,Marsilion-C,Legendary,Power,,,,Quick Launch,Spike Grenades,Envious Assassin,"Cascade Point
Full Court",Non-rocket burst damage,SE,Gunsmith pool
N/A,,Martyr's Retribution,Legendary,Energy,,,,Quick Launch,High-Velocity Rounds,"Heal Clip
Demolitionist
Auto-Loading Holster","Incandescent
Kill Clip",Ammo efficient add clear,Universal,S24 pool
N/A,,Mindbender's Ambition,Legendary,Energy,,,,Barrel Shroud,Assault Mag,Threat Detector,Vorpal Weapon,Double pellet,Universal,Vanguard legacy focusing
N/A,,Nessa's Oblation,Legendary,Energy,,,,Fluted Barrel,Assault Mag,Reconstruction,Vorpal Weapon,Double slug,Universal,Root of Nightmares
N/A,,New Pacific Epitaph,Legendary,Kinetic,,,,Quick Launch,High-Velocity Rounds,"Demolitionist
Lead from Gold
Unrelenting",Redirection,Ammo efficient add clear,Universal,Ghosts of the Deep
N/A,,No Reprieve,Legendary,Kinetic,,,,Fluted Barrel,Assault Mag,Triple Tap,Surrounded,Double slug,"Last Wish, Spire of the Watcher",N/A
N/A,,Omniscient Eye,Legendary,Energy,,,,Fluted Barrel,Tactical Mag,"Fourth Time's the Charm
Envious Arsenal","Precision Instrument
Vorpal Weapon",Augmenting damage,Universal,Garden of Salvation
N/A,,Pardon Our Dust,Legendary,Kinetic,,,,Quick Launch,"Disorienting Grenades
Spike Grenades",Auto-Loading Holster,"Demolitionist
Vorpal Weapon","Blinding enemies
Augmenting boss damage",Universal,Dares of Eternity
N/A,,Praedyth's Revenge,Legendary,Kinetic,,,,Fluted Barrel,Tactical Mag,"Kinetic Tremors
Fourth Time's the Charm","Elemental Honing
Bait and Switch","Quick ranged hitscan kills
Augmenting boss damage",Universal,Vault of Glass
N/A,,Qullim's Terminus,Legendary,Power,,,,Fluted Barrel,Flared Magwell,Ensemble,"Killing Tally
Firefly",General add clear,Universal,King's Fall
