WEAPON,,INFO,,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Cataphract GL3,28,Strand,Adaptive,Trials,,55,Yes,Quick Launch,Spike Grenades,"Envious Arsenal
Auto-Loading Holster","Bait and Switch
Explosive Light",Roar of Battle,run of the mill Envious/BnS adaptive,11,A
,Dimensional Hypotrochoid,29,Stasis,Compressed Wave,Neomuna,,32,Yes,Quick Launch,High-Velocity Rounds,"Envious Arsenal
Field Prep","Bait and Switch
Crystalline Corpsebloom
Chain Reaction",Nanotech Tracer Missiles,good add clear swap option that has similar damage roll to A adaptives,12,A
,Tarnation,29,Arc,Rapid,Throne World,,33,Yes,Quick Launch,"Spike Grenades
Mini Frags","Envious Assassin
Clown Cartridge",Bait and Switch,Psychohack,"outdated reload perks, only Bait for damage",13,B
,Hullabaloo,29,Arc,Compressed Wave,Tenet of Bravery,,27,Yes,Quick Launch,High-Velocity Rounds,"Field Prep
Demolitionist
Voltshot
","Chain Reaction
One for All
Rolling Storm",Classy Contender,"solid ammo generation perks, underrated add clear archetype",14,B
,Regnant,29,Void,Adaptive,NODE.OVRD.AVALON,,34,Yes,Quick Launch,Spike Grenades,"Envious Assassin
Auto-Loading Holster","Cascade Point
Explosive Light",Noble Deeds,"one of two sticky EL heavy GLs, otherwise unremarkable",15,B
,Acosmic,29,Void,Rapid,Tenet of Bravery,,50,Yes,Quick Launch,"Spike Grenades
Mini Frags","Clown Cartridge
Withering Gaze","Bait and Switch
Cascade Point
Explosive Light",Nadir Focus,no really solid DPS reload perk but good otherwise,16,C
,Marsilion-C,20,Solar,Rapid,Banshee,,30,Yes,Quick Launch,Spike Grenades,Envious Assassin,"Cascade Point
Full Court",Häkke Breach Armaments,irrelevant due to Cascade in wrong column and no good damage perk,17,C
,Wendigo GL3,29,Arc,Adaptive,Zavala,,43,Yes,Quick Launch,Spike Grenades,"Auto-Loading Holster
Chain Reaction","Cascade Point
Explosive Light",Problem Solver,okay for burst but completely outdated,18,C
,Cry Mutiny,29,Solar,Adaptive,Solo Ops,,48,Yes,Quick Launch,Spike Grenades,"Incandescent
Blast Distributor
Demolitionist","Aggregate Charge
Mega Kill Clip
Surrounded",Vanguard Determination,strictly for add clear but pretty decent for it,19,D
,Swarm of the Raven,21,Void,Rapid,Iron Banner,,31,No,Quick Launch,Spike Grenades,"Auto-Loading Holster
Clown Cartridge",Cascade Point,Skulking Wolf,no real consistent damage perk,20,D
,Interference VI,10,Arc,Adaptive,Xur,,36,No,Quick Launch,Spike Grenades,"Auto-Loading Holster
Clown Cartridge",Full Court,None,no real consistent damage perk,21,D
,Typhon GL5,16,Stasis,Adaptive,Banshee,,45,No,Quick Launch,Spike Grenades,Demolitionist,Explosive Light,Omolon Fluid Dynamics,1 mag damage perk,22,D
,Memory Interdict,14,Void,Adaptive,Xur,,23,No,Quick Launch,Spike Grenades,"Auto-Loading Holster
Clown Cartridge",Chain Reaction,None,purely add clear perks,23,E
,Blast Battue,12,Arc,Adaptive,Xur,,48,No,Quick Launch,Spike Grenades,"Clown Cartridge
Quickdraw","Chain Reaction
Auto-Loading Holster",None,purely add clear perks,24,E
,Crowd Pleaser,12,Void,Adaptive,Gambit,,22,No,Quick Launch,Spike Grenades,Clown Cartridge,Demolitionist,Gun and Run,double loader perks,25,E
,Berenger's Memory,11,Void,Rapid,Xur,,28,No,Quick Launch,Spike Grenades,Field Prep,Auto-Loading Holster,None,ALH in 2nd column and useless 1st column,26,E
