WEAPON,,INFO,,,,,PERKS,,,,,ANALYSIS,,
,Arsenic Bite-4B,4,Arc,Lightweight,70,No,Elastic String,Compact Arrow Shaft,Dragonfly,Explosive Head,None,technically double splash but a weaker version,18,B
,Under Your Skin,29,Void,Precision,51,Yes,Elastic String,Compact Arrow Shaft,Archer's Tempo,"Explosive Head
Dragonfly",Land Tank,classic Archer's + Explosive/weaker splash,19,C
,Raconteur,29,Stasis,Precision,54,Yes,Elastic String,Compact Arrow Shaft,"Archer's Tempo
Shoot to Loot","Headstone
Explosive Head",Noble Deeds,classic Archer's + Explosive/weaker splash,20,C
,Wolftone Draw,15,Arc,Precision,55,No,Elastic String,Compact Arrow Shaft,"Archer's Tempo
Shoot to Loot","Dragonfly
Frenzy",None,classic Archer's + Explosive/weaker splash,21,C
,Fel Taradiddle,29,Kinetic,Lightweight,59,Yes,Elastic String,Compact Arrow Shaft,"Archer's Tempo
Shoot to Loot",Explosive Head,Psychohack,classic Archer's + Explosive/weaker splash,22,C
,Imperial Needle,13,Void,Lightweight,60,No,Elastic String,Compact Arrow Shaft,Archer's Tempo,Frenzy,None,Archer's + weak damage perk,23,D
,Lunulata-4B,17,Stasis,Lightweight,64,No,Elastic String,Compact Arrow Shaft,Shoot to Loot,Headstone,Veist Stinger,no Archer's + weaker splash perk,24,D
,Lethophobia,29,Void,Lightweight,63,Yes,Elastic String,Compact Arrow Shaft,"Repulsor Brace
Impulse Amplifier",Explosive Head,Dragon's Vengeance,similar to Biting Winds but worse frame,25,D
,Whispering Slab,26,Kinetic,Lightweight,59,Yes,Elastic String,Compact Arrow Shaft,"Archer's Tempo
Demolitionist
Pugilist","High Ground
Swashbuckler
Vorpal Weapon",Paracausal Fluid,single target perks on a bow,26,E
,Whistler's Whim,20,Kinetic,Lightweight,64,No,Elastic String,Compact Arrow Shaft,"Rapid Hit
Cornered","Archer's Tempo
Kill Clip",Veist Stinger,single target perks on a bow,27,E
,Neoptolemus II,25,Kinetic,Precision,54,Yes,Elastic String,Compact Arrow Shaft,Pugilist,Vorpal Weapon,Wild Card,no draw perks and only single target damage perks,28,E
