WEAPON,,INFO,,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,DIABLERETS 06,29,Strand,Rapid,Distortions,,33,Yes,"Arrowhead Brake
Fluted Barrel",Appended Mag,"Auto-Loading Holster
Hatchling","Meganeura
Redirection
Killing Tally",Carrion Munitions,"not bad, first column a little lacking",15,A
,Avalanche,25,Solar,Adaptive,Dawning,,40,Yes,"Arrowhead Brake
Fluted Barrel",Tactical Mag,"Auto-Loading Holster
Subsistence
Dragonfly","Incandescent
Cascade Point
Golden Tricorn",Dawning Surprise,"decent first column, splash in second but no consistent damage perk",16,A
,Unwavering Duty,27,Solar,Adaptive,Trials,,58,Yes,"Arrowhead Brake
Fluted Barrel",Extended Mag,"Incandescent
Fourth Time's the Charm
Auto-Loading Holster","Killing Tally
Target Lock
Burning Ambition",Roar of Battle,"no Demo in first column, splash in first is interesting but combos aren't great",17,A
,Temporal Clause,29,Solar,Aggressive,Nessus,,36,Yes,"Arrowhead Brake
Fluted Barrel",Extended Mag,"Demolitionist
Meganeura
Incandescent","Mega Kill Clip
Burning Ambition
Killing Tally",Fail-deadly,"similar to Hammerhead, lethal double damage perk combos",18,A
,Hammerhead,29,Void,Adaptive,Onslaught,,40,Yes,"Arrowhead Brake
Fluted Barrel",Extended Mag,"Demolitionist
Destabilizing Rounds
Dimensional Shift","Mega Kill Clip
Desperate Measures",Forge's Kin,"decent, just lacks a splash perk to pair with Demo",19,A
,Dawn Far Off,29,Solar,Aggressive,Tenet of Bravery,,35,Yes,"Arrowhead Brake
Fluted Barrel",Extended Mag,"Burning Ambition
Impromptu Ammunition
Subsistence","Incandescent
Meganeura
Redirection",Dream Work,"no reload perk hurts, but origin helps and other perks are lethal",20,A
,Speleologist,29,Solar,Rapid,Encore,,29,Yes,"Arrowhead Brake
Fluted Barrel",Appended Mag,"Envious Assassin
Heal Clip
Deconstruct","Incandescent
Killing Tally
One For All",Radiolaria Transposer,"Envious usable on LMGs, great origin, just missing good loader perk",21,A
,Archon's Thunder,29,Stasis,High-Impact,Iron Banner,,41,Yes,"Arrowhead Brake
Fluted Barrel",Tactical Mag,"Rimestealer
Air Trigger
Fourth Time's the Charm","Headstone
Desperate Measures
Killing Tally",Skulking Wolf,"classic stasis perk combo, just no good loader perk",22,A
,Watchful Eye,29,Arc,Aggressive,Xur,,36,Yes,"Arrowhead Brake
Fluted Barrel",Appended Mag,"Overflow
Field Prep","Jolting Feedback
Killing Tally
Rolling Storm",Runneth Over,"Arc splash perks mediocre on LMGs, okay first column",23,A
,Marcato-45,23,Strand,Adaptive,Banshee,,60,Yes,"Arrowhead Brake
Fluted Barrel",Extended Mag,Demolitionist,"Hatchling
Golden Tricorn
Onslaught",Suros Synergy,Demo + decent second column on okay archetype,24,B
,21% Delirium,29,Arc,Rapid,Gambit,,45,Yes,"Arrowhead Brake
Fluted Barrel",Appended Mag,"Reconstruction
Overflow
Fourth Time's the Charm","Mega Kill Clip
Killing Tally",Gun and Run,no Demo and no good splash perks but solid QoL performance,25,B
,Recurrent Impact,29,Stasis,Rapid,Vox Obscura,,43,Yes,"Arrowhead Brake
Fluted Barrel",Tactical Mag,"Subsistence
Field Prep","One for All
Headstone",Land Tank,great origin + mediocre first column,26,B
,A Fine Memorial,29,Arc,Adaptive,Moon,,46,Yes,"Arrowhead Brake
Fluted Barrel",Extended Mag,"Auto-Loading Holster
Impromptu Ammunition
Lead from Light","Meganeura
Mega Kill Clip",Loss,"okay first column, Meganeura in 2nd but not much else",27,B
,Qua Xaphan V,22,Void,High-Impact,Gambit,,42,Yes,"Arrowhead Brake
Fluted Barrel",Alloy Magazine,"Field Prep
Triple Tap
Slideways","Destabilizing Rounds
Adrenaline Junkie
Dragonfly",Wild Card,good origin but bad first column,28,B
,Fixed Odds,29,Solar,High-Impact,Duality,,37,Yes,"Arrowhead Brake
Fluted Barrel",Extended Mag,Field Prep,"Incandescent
Killing Tally",To Excess,"no loader perk, good archetype + splash perk though",29,B
,Bitter End,28,Arc,Balanced (900RPM),Equilibrium,,12,Yes,"Arrowhead Brake
Fluted Barrel",Light Heatsink,"Trickle Charge
Cooling Baubles
Eddy Current","Rolling Storm
Killing Tally
Jolting Feedback",Imperial Allegiance,"questionable first column but solid 2nd column for arc, awful ammo gen",30,B
,Qua Furor V,26,Stasis,Aggressive,Banshee,,39,Yes,"Arrowhead Brake
Fluted Barrel",Extended Mag,"Feeding Frenzy
Rimestealer","Dragonfly
Golden Tricorn
One for All",Wild Card,good origin but mediocre perks,31,B
,Planck's Stride,29,Arc,Rapid,Xur,,36,Yes,"Arrowhead Brake
Fluted Barrel",Appended Mag,Grave Robber,"Swashbuckler
Pugilist",Right Hook,decent melee combo but overshadowed by plenty of other options,32,C
,Shattered Cipher,14,Void,Rapid,"Xur, Dares",,37,No,"Arrowhead Brake
Fluted Barrel",Extended Mag,"Auto-Loading Holster
Field Prep","Adrenaline Junkie
Surrounded",None,ALH but mediocre second column with awful recoil,33,C
,Retrofit Escapade,29,Void,Rapid,Seraph's Shield,,29,Yes,"Arrowhead Brake
Fluted Barrel",Appended Mag,"Fourth Time's the Charm
Field Prep
Feeding Frenzy","One for All
Golden Tricorn",Ambush,mediocre first and second column,34,C
,THE SWARM,20,Arc,High-Impact,Zavala,,49,No,"Arrowhead Brake
Fluted Barrel",Appended Mag,Feeding Frenzy,"Dragonfly
Golden Tricorn",Vanguard's Vindication,no loader perk and mediocre splash perk + damage perk,35,E
,Eleatic Principle,29,Arc,Rapid,Xur,,43,Yes,"Arrowhead Brake
Fluted Barrel",Appended Mag,Ensemble,"Golden Tricorn
Target Lock",Head Rush,awful all around,36,F
