WEAPON,,INFO,,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Seventh Seraph Officer Revolver,29,Kinetic,Precision,Cosmodrome,,52,Yes,Fluted Barrel,,,,Eyes Up,,,
,Yesterday's Question,29,Arc,Heavy Burst,Trials,,55,Yes,Fluted Barrel,,,,Fleet Footed,,,
,Loud Lullaby,29,Stasis,Aggressive,Moon,,48,Yes,Fluted Barrel,,,,Loss,,,
,Bold Endings,29,Stasis,Heavy Burst,Pale Heart,,49,Yes,Fluted Barrel,,,,Dealer's Choice,,,
,Warden's Law,29,Kinetic,Heavy Burst,Zavala,,52,Yes,Fluted Barrel,,,,Problem Solver,,,
,Malediction,29,Kinetic,Aggressive,Solo Ops,,60,Yes,Fluted Barrel,,,,Wild Card,,,
,Igneous Hammer,29,Solar,Aggressive,Trials,,55,Yes,Fluted Barrel,,,,Fleet Footed,,,
,Spare Rations,29,Stasis,Adaptive,Gambit,,57,Yes,Fluted Barrel,,,,Gun and Run,,,
,Rose,29,Kinetic,Lightweight,Competitive,,58,Yes,Fluted Barrel,,,,None,,,
,Mos Athanor IV,28,Void,Aggressive,"Tenet of Bravery, Shaxx",,52,Yes,Fluted Barrel,,,,Accelerated Assault,,,
,Crimil's Dagger,29,Kinetic,Aggressive,Iron Banner,,56,Yes,Fluted Barrel,,,,Skulking Wolf,,,
,Better Devils,29,Strand,Adaptive,Crucible,,50,Yes,Fluted Barrel,,,,Accelerated Assault,,,
,Exuviae,25,Stasis,Aggressive,"Xur, Kell's Fall?",,54,Yes,Fluted Barrel,,,,Dark Ether Reaper,,,
,Something New,29,Stasis,Aggressive,Tenet of Bravery,,51,Yes,Fluted Barrel,,,,Dream Work,,,
,Waking Vigil,29,Arc,Adaptive,Dreaming City,,46,Yes,Fluted Barrel,,,,Advanced Reflexes,,,
,Round Robin,29,Strand,Aggressive,Neomuna,,52,Yes,Fluted Barrel,,,,Nanotech Tracer Missiles,,,
,Sixth Sense,29,Strand,Aggressive,Tenet of Bravery,,54,Yes,Fluted Barrel,,,,Wild Card,,,
,The Palindrome,29,Arc,Adaptive,Pinnacle Ops,,50,Yes,Fluted Barrel,,,,Wild Card,,,
,"Judgment
RotN version",26,Stasis,Adaptive,Rite of the Nine,,50,Yes,Fastdraw HCS,,,,Gravity Well,,,
,Judgment,29,Stasis,Adaptive,Prophecy,,50,Yes,Fluted Barrel,,,,Crossing Over,,,
,Finite Impactor,27,Solar,Adaptive,Iron Banner,,49,Yes,Fluted Barrel,,,,Skulking Wolf,,,
,Solemn Lie,29,Arc,Lightweight,Competitive,,60,Yes,Fluted Barrel,,,,None,,,
,Targeted Redaction,29,Void,Aggressive,Xur,,49,Yes,Fluted Barrel,,,,Unsated Hunger,,,
,True Prophecy,29,Arc,Aggressive,Nessus,,52,Yes,Fluted Barrel,,,,Fail-deadly,,,
,Combined Action,21,Arc,Aggressive,Banshee,,53,Yes,Fluted Barrel,,,,Field-Tested,,,
,Survivor's Epitaph,29,Kinetic,Precision,Crucible,,47,Yes,Fluted Barrel,,,,Accelerated Assault,,,
,Cantata-57,16,Arc,Adaptive,Banshee,,45,No,Fluted Barrel,,,,Suros Synergy,,,
,Optative,29,Void,Precision,Starcrossed,,54,Yes,Fluted Barrel,,,,Nano-Munitions,,,
,IKELOS_HC_V1.0.3,29,Void,Precision,Seraph's Shield,,53,Yes,Fluted Barrel,,,,Rasputin's Arsenal,,,
,Bottom Dollar,29,Void,Aggressive,Gambit,,59,Yes,Fluted Barrel,,,,Gun and Run,,,
,Annual Skate,15,Solar,Adaptive,Xur,,52,No,Fastdraw HCS,,,,None,,,
,Frontier's Cry,29,Solar,Precision,Iron Banner,,48,Yes,Fluted Barrel,,,,Skulking Wolf,,,
,Austringer,29,Kinetic,Adaptive,Presage,,53,Yes,Fluted Barrel,,,,To Excess,,,
,Nature of the Beast,11,Arc,Precision,Xur,,57,No,Fastdraw HCS,,,,None,,,
,Crisis Inverted,16,Arc,Adaptive,Crucible,,52,No,Fluted Barrel,,,,Omolon Fluid Dynamics,,,
,Pure Poetry,18,Kinetic,Aggressive,Zavala,,50,No,Fluted Barrel,,,,Häkke Breach Armaments,,,
,Dire Promise,10,Kinetic,Adaptive,"Xur, Dares",,60,No,Fastdraw HCS,,,,None,,,
,The Steady Hand,12,Kinetic,Aggressive,Iron Banner,,40,No,Fastdraw HCS,,,,None,,,
,Kept Confidence,29,Strand,Adaptive,Xur,,55,Yes,Fluted Barrel,,,,Head Rush,,,
,"Zaouli's Bane
Pantheon version",29,Solar,Adaptive,Pantheon,,50,Yes,Fluted Barrel,,,,Elliptical Orbit,,,
